"","spp","plate","trt","dayGerm","root1","root2","root3","root4","root5","root6","root7","root8","root9","root10","root11","root12","day.hit.bottom","notes"
"68","pen","P09","ctrl",1,19.63,29.68,43.36,55.02,67.67,80.76,94.48,109.29,123.73,127.75,130.68,NA,"11","hit bottom of plate after day 11"
"69","lyc","P09","ctrl",1,2.44,13.69,28.82,28.75,41.35,56.02,69.32,85,101.72,121.64,NA,NA,"10","hit bottom of plate after day 10"
"70","chi","P09","ctrl",1,14.82,31.66,51.19,64,80.98,97.16,113.06,128,137.11,NA,NA,NA,"9","hit bottom of plate at day 9"
"71","per","P09","ctrl",1,4.89,15.84,26.34,35.82,45.8,55.78,65.17,76.22,86.81,99.59,108.8,123.49,"none",""
"72","hab","P09","ctrl",1,8.35,15.7,25.62,35.67,47.47,59.52,71.25,84.36,97.71,112.96,122.81,NA,"11","hit bottom of plate at day 11"
"73","sit","P10","ctrl",1,8.99,15.49,23,28.9,34.08,38.65,47.48,49.32,54.35,59.71,63.39,68.83,"none",""
"74","hab","P10","ctrl",1,11.87,19.17,31.23,39.57,49.26,60.13,72.04,85.06,98.69,111.82,120.7,NA,"11","hits bttom of plate after day 11"
"75","chi","P10","ctrl",1,27.19,47.73,72,93.48,115.89,127.71,NA,NA,NA,NA,NA,NA,"6","hits boittom after day 7"
"76","per","P10","ctrl",3,7.99,14.24,24.48,35.01,45.41,56.86,66.7,76.06,82.13,93.54,NA,NA,"none",""
"77","pim","P10","ctrl",1,24.11,39.3,55.81,71,87.02,104.4,123.27,NA,NA,NA,NA,NA,"7","hits bottom after day 7"
"78","chm","P10","ctrl",1,19.78,30.51,45,54.02,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,"none",""
"79","arc","P10","ctrl",1,19.95,30.92,44.65,54.07,64.57,82.9,93.9,103.77,114.12,NA,NA,NA,"9","hit bottom after day 9"
"80","oid","P10","ctrl",3,4.92,24.6,51.9,74.94,94.54,116.42,NA,NA,NA,NA,NA,NA,"8","hit bottom after day 8"
"81","lyc","P10","ctrl",1,32.41,53.27,74.55,93.84,114.75,NA,NA,NA,NA,NA,NA,NA,"5","hit bottom after day 5"
"82","pen","P10","ctrl",1,9.43,17.02,30.65,41.51,53.74,65.74,77.63,90.62,104.83,120.54,NA,NA,"10",""
"83","chi","P11","cold",1,6.65,10.82,14.81,18.21,22.45,27.25,33.72,40.28,46.97,52.9,60.46,71.21,"none",""
"84","chm","P11","cold",1,6.34,9.78,12.43,13.81,15.24,15.49,15.63,15.95,15.95,16.75,17.14,17.77,"none",""
"85","pim","P11","cold",1,14,15.65,15.65,15.74,16.03,16.03,16.81,17.57,18.29,20.04,20.82,23.07,"none",""
"86","hab","P11","cold",2,2.62,6.71,8.74,9.21,9.21,10.21,10.52,10.83,10.92,11.27,11.69,NA,"none",""
"87","sit","P11","cold",1,4.64,6.97,10.77,14.37,18.83,22.35,27.35,33.42,39.16,45.59,49,54.85,"none","plant seems to be growing very slowly"
"88","per","P11","cold",5,3.54,7.36,11.34,15.21,18.6,25,30.11,34.56,NA,NA,NA,NA,"none",""
"89","arc","P11","cold",1,10.76,15.1,19.51,24.69,29.98,35.03,40.1,46.55,53.3,56.53,58.14,64.47,"none",""
"90","oid","P11","cold",2,2.15,5.17,8.62,13.94,19.08,24.35,30.17,33.58,39.17,43.19,50.78,NA,"none",""
"91","lyc","P12","cold",1,20.1,21.02,21.02,21.02,21.99,21.99,22.41,22.46,23.09,24.14,24.71,26.64,"none",""
"92","oid","P12","cold",8,3.69,6.08,7.76,8.33,9.4,NA,NA,NA,NA,NA,NA,NA,"none",""
"93","pen","P12","cold",1,2.41,4.03,5.53,6.19,9.21,10.78,13.62,17.47,20.63,24.89,27.9,32.38,"none","plant doesn’t seem to grow after day 6"
"94","hab","P12","cold",2,5.67,9.27,11.48,13.43,13.92,15.21,15.83,16.51,17.97,18.88,22.29,NA,"none",""
"95","chm","P12","cold",1,7.71,11.27,12.72,13.25,13.99,14.14,14.14,14.2,14.2,14.25,14.25,14.31,"none",""
"96","per","P12","cold",3,2.31,3.69,6.95,10.47,14.13,17.23,19.59,20.39,21.16,21.27,NA,NA,"none",""
"97","sit","P12","cold",1,1.22,4.44,8.49,12.73,17.54,22.34,26.66,32.05,37.71,44.51,49.27,57.09,"none",""
"98","pim","P12","cold",1,12.12,12.57,12.81,13.25,13.54,14.03,14.63,14.9,16.67,18.08,20.16,23.24,"none",""
"99","chi","P12","cold",3,3.56,6.28,8.3,10.61,13.39,16.89,19.53,23.87,26.17,31.44,NA,NA,"none",""
"100","pim","P13","cold",1,6.81,7.51,7.59,7.67,8.23,8.41,8.57,9.2,9.31,9.5,9.8,10.28,"none",""
"101","oid","P13","cold",4,5,9.59,15.51,23.18,32.15,40.19,47.36,51.77,61.23,NA,NA,NA,"none",""
"102","hab","P13","cold",1,4.99,7.48,9.65,10.88,11.94,12.63,13.28,14.29,15.39,17.43,19.6,24.21,"none",""
"103","arc","P13","cold",1,8.23,11.52,14.98,21.24,28.21,34.47,38.43,40.25,40.75,41.29,41.79,41.99,"none",""
"104","chi","P13","cold",1,8.82,9.35,11.42,11.42,12.93,14.23,16.76,19.16,23.05,27.83,30.46,33.26,"none",""
"105","sit","P13","cold",1,5.73,7.86,10.93,15.17,19.97,25.2,30.6,36.44,42.32,48.13,51.59,57.24,"none",""
"106","chm","P13","cold",1,3.15,6.97,9.73,11.03,11.41,12.03,12.18,12.18,12.35,12.5,12.5,12.5,"none",""
"107","chm","P14","cold",1,11.41,11.6,11.86,11.93,12.52,12.74,12.97,12.97,13.38,13.38,13.38,13.38,"none",""
"108","hab","P14","cold",1,3.7,5.67,7.87,9.48,10.59,11.68,12.56,13.6,15.78,19.26,21.95,28.76,"none",""
"109","oid","P14","cold",6,1.31,2.89,4.89,7.13,10.03,13.28,16.56,NA,NA,NA,NA,NA,"none",""
"110","arc","P14","cold",1,6.84,10.78,15.26,19.38,23.05,28.71,33.6,37.73,40.8,43.22,46.6,51.9,"none",""
"111","per","P14","cold",1,14.71,20.17,24.65,27.83,31.13,34.85,39.26,43.79,48.86,54.5,58.75,67.67,"none",""
"112","chi","P14","cold",1,6.4,8.22,11.26,14.02,17.55,20.87,25.14,30.09,35.32,41.09,45.89,53.14,"none",""
"113","pim","P14","cold",1,12.65,13,13.65,13.65,14.36,14.85,17.21,21.2,24.55,26.56,29.3,37.34,"none",""
"114","sit","P14","cold",1,4.5,7.54,9.84,12.99,15.7,18.98,22.19,25.25,27.04,30.31,32.76,37.34,"none",""
"115","chm","P15","cold",1,10.69,14.17,15.2,15.78,15.89,16.34,16.74,16.74,16.74,16.92,17.18,17.36,"none",""
"116","arc","P15","cold",1,9.33,13.79,17.76,21.71,26.49,30.11,34.07,37.96,42.1,46.64,48.86,53.29,"none",""
"117","per","P15","cold",1,1.64,5.11,7.14,9.92,13.15,16.01,19.4,23.93,28.05,32.81,36.81,43.55,"none",""
"118","sit","P15","cold",1,7.48,11.48,15.99,21.47,27.37,33.52,40.28,47.8,55.49,64.18,69.33,79.86,"none",""
"119","hab","P15","cold",1,5.29,8.22,10,11.14,12.01,12.82,13.29,13.97,15.2,17.33,19,24.53,"none",""
"120","chi","P15","cold",1,2.19,4.6,8.4,12.09,17.83,24.83,28.63,34.48,42.04,54.68,60.63,68.93,"none",""
"121","lyc","P15","cold",1,17.62,20.4,21.32,22.28,23.03,23.03,24.01,24.56,25.41,27.82,29.73,34.74,"none",""
"122","pim","P15","cold",1,9.54,10.12,10.67,10.87,11.29,12.74,14.43,17.4,20.58,24.29,26.7,31.24,"none",""
"123","oid","P15","cold",1,0.96,2.33,6.22,10.96,18.45,27.98,35.19,42.18,47.92,55.89,60.4,69.99,"none",""
"124","chi","P16","cold",1,2.39,3.52,5.51,8.2,13.73,19.29,22.89,26.8,35.37,41.95,45.05,45.09,"none",""
"125","per","P16","cold",4,1.82,4.49,9.56,14.97,20.42,25.51,30.87,33.97,40.71,NA,NA,NA,"none",""
"126","oid","P16","cold",3,2.01,2.9,3.49,3.96,4.17,5.18,8.17,13.37,17.87,25.79,NA,NA,"none",""
"127","pim","P16","cold",1,8.81,9.55,9.92,10.33,11.05,12.29,13.36,16,16.66,22.02,23.74,27.92,"none",""
"128","chm","P16","cold",1,8.31,11.78,14.49,16.76,18.81,20.21,20.79,21.46,21.95,22.18,23.97,24.05,"none",""
"129","sit","P16","cold",1,2.11,4.52,8.43,12.89,18.34,23.29,28.35,32.81,38.3,44.52,48.9,56.78,"none",""
"130","arc","P16","cold",1,7.38,12.28,20.21,27.02,35.23,38.9,43.87,49.29,53.97,63.52,69.29,76.92,"none",""
"131","hab","P16","cold",1,4.92,9.63,12.61,14.23,14.88,15.55,16.57,17.28,18.03,20.19,21.71,25.66,"none",""
"132","lyc","P16","cold",1,20.53,22.43,22.6,22.74,23.28,23.28,23.28,23.28,23.49,23.59,25.28,27.55,"none",""
"133","chi","P17","cold",2,2.02,3.82,4.33,6.36,8.43,11.27,16.29,21.11,26.42,30.75,38.95,NA,"none",""
"134","sit","P17","cold",1,10.27,14.87,21.33,27.02,32.97,38.56,44.76,51.9,59.61,68.66,73.87,83.86,"none",""
"135","chm","P17","cold",1,9.03,14.19,16.68,17.57,18.11,18.11,18.11,18.11,18.11,18.11,18.11,18.11,"none",""
"136","arc","P17","cold",1,1.55,3.81,7.69,11.04,16.59,24.52,28.04,32.94,37.78,43.73,47.58,52.07,"none",""
"137","oid","P17","cold",3,1.67,5.42,9.79,14.64,19.2,22.87,26.56,30.3,32.96,37.29,NA,NA,"none",""
"138","hab","P17","cold",1,5.15,8.91,12.74,14.96,17.08,18.03,19.46,20.65,21.52,23.07,24.58,26.93,"none",""
"139","pim","P17","cold",1,9.11,9.78,10.36,10.55,11.9,12.2,13.96,15.56,18.66,21.9,23.93,26.13,"none",""
"140","pim","P18","cold",1,9.1,9.82,10.4,10.4,11.62,12.44,13.05,14.51,16.44,19.04,20.6,23.63,"none",""
"141","arc","P18","cold",1,6.47,10.54,15.06,20.14,27.13,32.21,37.39,42.65,47.5,50.8,52.38,55.19,"none",""
"142","oid","P18","cold",1,3.86,7.22,13.57,19.77,28.68,38.53,48.63,60.85,72.02,85.12,94.04,109.43,"none",""
"143","hab","P18","cold",1,1.63,4.84,8.97,11.41,13.3,14.58,16.88,18.63,20.63,26.04,30.91,38.03,"none",""
"144","pen","P18","cold",1,2.89,4.58,7.41,9.09,11.02,13.97,16.84,22.68,26.21,30.74,33.71,40.95,"none",""
"145","chm","P18","cold",1,11.52,15.15,18.36,20.97,23.43,25.28,26.46,27.6,29.83,32.55,33.64,35.32,"none",""
"146","chi","P18","cold",1,5.14,8.36,13.17,17.82,30.29,30.29,35.92,43.57,51.35,60.15,66.79,77.62,"none",""
"147","sit","P18","cold",1,3.28,5.17,7.11,9.72,13.57,17.5,20.7,25.92,31.36,37.46,41.89,49.28,"none",""
"148","hab","P19","cold",1,1.67,3.3,8.01,10.69,12.81,13.84,14.96,16.07,17.46,18.64,19.81,24.24,"none",""
"149","per","P19","cold",4,3.34,5.97,10.01,13.88,18.29,23.14,28.88,32.75,39.91,NA,NA,NA,"none",""
"150","oid","P19","cold",4,2.97,7.66,15.85,20.76,24.85,29.11,33.78,37.78,43.89,NA,NA,NA,"none",""
"151","chi","P19","cold",1,10.25,15.73,21.79,27.13,32.95,37.61,38.86,42.99,50.73,58.73,64.28,76.4,"none",""
"152","arc","P19","cold",1,3.22,7.15,14.44,20.57,25.1,29.34,36.47,41.57,42.41,47.79,48.79,50.55,"none",""
"153","pim","P19","cold",1,14.51,14.99,15.57,15.97,16.64,17.19,18.36,20.25,22.17,25.75,27.43,30.96,"none",""
"154","sit","P19","cold",1,5.26,8.74,12.68,16.94,22.13,26.58,31.58,37.52,43.77,51.03,55.47,63.75,"none",""
"155","chm","P19","cold",1,6.84,10.55,14.36,15.71,16.9,17.34,17.96,18.09,18.09,18.28,18.28,18.28,"none",""
"156","sit","P20","cold",2,5.83,11.32,17.28,23.64,28.13,33.35,39.93,48.5,56.99,63.48,75.09,NA,"none",""
"157","chm","P20","cold",1,8.54,12.71,14.74,15.51,16.47,17.16,18.03,18.65,18.82,18.93,19,19.06,"none",""
"158","chi","P20","cold",1,8.78,12.49,15.22,18.83,21.72,23.15,24.97,27.03,29.95,33.78,35.71,40.89,"none",""
"159","hab","P20","cold",1,0.61,3.51,5.78,7.08,7.9,8.89,9.45,10.65,12.84,17.25,20.43,28.99,"none",""
"160","oid","P20","cold",1,3.28,7.75,17.1,28.59,41.04,51.51,60.93,72.54,84.96,100.53,110.73,126.31,"none",""
"161","per","P20","cold",2,2.06,5.48,9.04,13.01,16.46,19.77,24.03,28.71,34.3,38.04,44.29,NA,"none",""
"162","lyc","P20","cold",1,15.46,18.24,19.68,20.61,21.06,21.29,22.06,22.31,24.71,27.34,29.97,33.77,"none",""
"163","pim","P20","cold",1,11.77,12.95,13.22,13.28,13.94,15.15,16.27,18.78,21.32,25.18,27.28,30.57,"none",""
"164","arc","P20","cold",6,1.97,3.95,8.22,13.82,20.15,23.55,29.71,NA,NA,NA,NA,NA,"none",""
