"","spp","plate","trt","dayGerm","variable","stemLen","day","spptrt","ID","phylo"
"74","chi","P10","ctrl","0","stem1",8.272556587,1,"chictrl","chiP10","chi"
"75","per","P10","ctrl","3","stem1",3.296324456,1,"perctrl","perP10","per"
"76","pim","P10","ctrl","0","stem1",10.93470324,1,"pimctrl","pimP10","pim"
"77","chm","P10","ctrl","0","stem1",8.606133306,1,"chmctrl","chmP10","chm"
"78","arc","P10","ctrl","0","stem1",8.978512569,1,"arcctrl","arcP10","arc"
"79","oid","P10","ctrl","3","stem1",0,1,"oidctrl","oidP10","oid"
"80","lyc","P10","ctrl","0","stem1",16.24209868,1,"lycctrl","lycP10","lyc"
"81","pen","P10","ctrl","1","stem1",7.538750391,1,"penctrl","penP10","pen"
"82","chi","P11","cold","0","stem1",2.976322103,1,"chicold","chiP11","chi"
"83","chm","P11","cold","1","stem1",0,1,"chmcold","chmP11","chm"
"84","pim","P11","cold","0","stem1",6.40961719,1,"pimcold","pimP11","pim"
"85","hab","P11","cold","1","stem1",0,1,"habcold","habP11","hab"
"86","lyc","P11","cold","5","stem1",0,1,"lyccold","lycP11","lyc"
"87","sit","P11","cold","1","stem1",2.772608741,1,"sitcold","sitP11","sit"
"88","per","P11","cold","4","stem1",0,1,"percold","perP11","per"
"89","arc","P11","cold","0","stem1",3.645666006,1,"arccold","arcP11","arc"
"90","oid","P11","cold","2","stem1",1.108879824,1,"oidcold","oidP11","oid"
"91","lyc","P12","cold","0","stem1",8.931991238,1,"lyccold","lycP12","lyc"
"92","oid","P12","cold","7","stem1",0,1,"oidcold","oidP12","oid"
"93","pen","P12","cold","1","stem1",6.624282883,1,"pencold","penP12","pen"
"94","hab","P12","cold","1","stem1",0,1,"habcold","habP12","hab"
"95","chm","P12","cold","1","stem1",0,1,"chmcold","chmP12","chm"
"96","per","P12","cold","3","stem1",0,1,"percold","perP12","per"
"97","sit","P12","cold","1","stem1",2.58537603,1,"sitcold","sitP12","sit"
"98","chi","P12","cold","1","stem1",0,1,"chicold","chiP12","chi"
"99","pim","P13","cold","0","stem1",6.807864817,1,"pimcold","pimP13","pim"
"100","oid","P13","cold","3","stem1",0,1,"oidcold","oidP13","oid"
"101","hab","P13","cold","1","stem1",1.651298634,1,"habcold","habP13","hab"
"102","arc","P13","cold","1","stem1",1.514342339,1,"arccold","arcP13","arc"
"103","chi","P13","cold","0","stem1",3.611453009,1,"chicold","chiP13","chi"
"104","sit","P13","cold","1","stem1",3.540627934,1,"sitcold","sitP13","sit"
"105","lyc","P13","cold","5","stem1",1.564443236,1,"lyccold","lycP13","lyc"
"106","chm","P13","cold","1","stem1",0.737561281,1,"chmcold","chmP13","chm"
"107","chm","P14","cold","1","stem1",1.95493898,1,"chmcold","chmP14","chm"
"108","hab","P14","cold","1","stem1",1.507145092,1,"habcold","habP14","hab"
"109","oid","P14","cold","6","stem1",0,1,"oidcold","oidP14","oid"
"110","arc","P14","cold","1","stem1",2.403045791,1,"arccold","arcP14","arc"
