"","spp","plate","trt","dayGerm","rootLen","day","spptrt","ID","phylo"
"1501","per","P04","ctrl","3",107.25,10,"perctrl","perP04","per"
"1505","chi","P04","ctrl","1",24.4,10,"chictrl","chiP04","chi"
"1507","hab","P04","ctrl","1",100.43,10,"habctrl","habP04","hab"
"1508","oid","P05","ctrl","3",132.96,10,"oidctrl","oidP05","oid"
"1509","sit","P05","ctrl","1",83.76,10,"sitctrl","sitP05","sit"
"1512","hab","P05","ctrl","1",105.36,10,"habctrl","habP05","hab"
"1513","arc","P05","ctrl","1",70.77,10,"arcctrl","arcP05","arc"
"1516","chm","P05","ctrl","1",72.26,10,"chmctrl","chmP05","chm"
"1520","per","P06","ctrl","1",118.11,10,"perctrl","perP06","per"
"1523","hab","P06","ctrl","1",110.79,10,"habctrl","habP06","hab"
"1525","chm","P07","ctrl","1",50.19,10,"chmctrl","chmP07","chm"
"1526","hab","P07","ctrl","1",110.78,10,"habctrl","habP07","hab"
"1529","sit","P07","ctrl","1",88.53,10,"sitctrl","sitP07","sit"
"1531","per","P07","ctrl","3",113.13,10,"perctrl","perP07","per"
"1534","hab","P08","ctrl","1",89.43,10,"habctrl","habP08","hab"
"1535","sit","P08","ctrl","1",100.82,10,"sitctrl","sitP08","sit"
"1537","per","P08","ctrl","1",124.43,10,"perctrl","perP08","per"
"1538","oid","P08","ctrl","2",120.53,10,"oidctrl","oidP08","oid"
"1541","sit","P09","ctrl","1",31.44,10,"sitctrl","sitP09","sit"
"1544","pen","P09","ctrl","1",127.75,10,"penctrl","penP09","pen"
"1545","lyc","P09","ctrl","1",121.64,10,"lycctrl","lycP09","lyc"
"1547","per","P09","ctrl","1",99.59,10,"perctrl","perP09","per"
"1548","hab","P09","ctrl","1",112.96,10,"habctrl","habP09","hab"
"1549","sit","P10","ctrl","1",59.71,10,"sitctrl","sitP10","sit"
"1550","hab","P10","ctrl","1",111.82,10,"habctrl","habP10","hab"
"1552","per","P10","ctrl","3",93.54,10,"perctrl","perP10","per"
"1554","chm","P10","ctrl","1",63.67,10,"chmctrl","chmP10","chm"
"1558","pen","P10","ctrl","1",120.54,10,"penctrl","penP10","pen"
"1559","chi","P11","cold","1",52.9,10,"chicold","chiP11","chi"
"1560","chm","P11","cold","1",16.75,10,"chmcold","chmP11","chm"
"1561","pim","P11","cold","1",20.04,10,"pimcold","pimP11","pim"
"1562","hab","P11","cold","2",11.27,10,"habcold","habP11","hab"
"1563","sit","P11","cold","1",45.59,10,"sitcold","sitP11","sit"
"1565","arc","P11","cold","1",56.53,10,"arccold","arcP11","arc"
"1566","oid","P11","cold","2",43.19,10,"oidcold","oidP11","oid"
"1567","lyc","P12","cold","1",24.14,10,"lyccold","lycP12","lyc"
"1569","pen","P12","cold","1",24.89,10,"pencold","penP12","pen"
"1570","hab","P12","cold","2",18.88,10,"habcold","habP12","hab"
"1571","chm","P12","cold","1",14.25,10,"chmcold","chmP12","chm"
"1572","per","P12","cold","3",21.27,10,"percold","perP12","per"
"1573","sit","P12","cold","1",44.51,10,"sitcold","sitP12","sit"
"1574","pim","P12","cold","1",18.08,10,"pimcold","pimP12","pim"
"1575","chi","P12","cold","3",31.44,10,"chicold","chiP12","chi"
"1576","pim","P13","cold","1",9.5,10,"pimcold","pimP13","pim"
"1578","hab","P13","cold","1",17.43,10,"habcold","habP13","hab"
"1579","arc","P13","cold","1",41.29,10,"arccold","arcP13","arc"
"1580","chi","P13","cold","1",27.83,10,"chicold","chiP13","chi"
"1581","sit","P13","cold","1",48.13,10,"sitcold","sitP13","sit"
"1582","chm","P13","cold","1",12.5,10,"chmcold","chmP13","chm"
"1583","chm","P14","cold","1",13.38,10,"chmcold","chmP14","chm"
"1584","hab","P14","cold","1",19.26,10,"habcold","habP14","hab"
"1586","arc","P14","cold","1",43.22,10,"arccold","arcP14","arc"
"1587","per","P14","cold","1",54.5,10,"percold","perP14","per"
"1588","chi","P14","cold","1",41.09,10,"chicold","chiP14","chi"
"1589","pim","P14","cold","1",26.56,10,"pimcold","pimP14","pim"
"1590","sit","P14","cold","1",30.31,10,"sitcold","sitP14","sit"
"1591","chm","P15","cold","1",16.92,10,"chmcold","chmP15","chm"
"1592","arc","P15","cold","1",46.64,10,"arccold","arcP15","arc"
"1593","per","P15","cold","1",32.81,10,"percold","perP15","per"
"1594","sit","P15","cold","1",64.18,10,"sitcold","sitP15","sit"
"1595","hab","P15","cold","1",17.33,10,"habcold","habP15","hab"
"1596","chi","P15","cold","1",54.68,10,"chicold","chiP15","chi"
"1597","lyc","P15","cold","1",27.82,10,"lyccold","lycP15","lyc"
"1598","pim","P15","cold","1",24.29,10,"pimcold","pimP15","pim"
"1599","oid","P15","cold","1",55.89,10,"oidcold","oidP15","oid"
"1600","chi","P16","cold","1",41.95,10,"chicold","chiP16","chi"
"1602","oid","P16","cold","3",25.79,10,"oidcold","oidP16","oid"
"1603","pim","P16","cold","1",22.02,10,"pimcold","pimP16","pim"
"1604","chm","P16","cold","1",22.18,10,"chmcold","chmP16","chm"
"1605","sit","P16","cold","1",44.52,10,"sitcold","sitP16","sit"
"1606","arc","P16","cold","1",63.52,10,"arccold","arcP16","arc"
"1607","hab","P16","cold","1",20.19,10,"habcold","habP16","hab"
"1608","lyc","P16","cold","1",23.59,10,"lyccold","lycP16","lyc"
"1609","chi","P17","cold","2",30.75,10,"chicold","chiP17","chi"
"1610","sit","P17","cold","1",68.66,10,"sitcold","sitP17","sit"
"1611","chm","P17","cold","1",18.11,10,"chmcold","chmP17","chm"
"1612","arc","P17","cold","1",43.73,10,"arccold","arcP17","arc"
"1613","oid","P17","cold","3",37.29,10,"oidcold","oidP17","oid"
"1614","hab","P17","cold","1",23.07,10,"habcold","habP17","hab"
"1615","pim","P17","cold","1",21.9,10,"pimcold","pimP17","pim"
"1616","pim","P18","cold","1",19.04,10,"pimcold","pimP18","pim"
"1617","arc","P18","cold","1",50.8,10,"arccold","arcP18","arc"
"1618","oid","P18","cold","1",85.12,10,"oidcold","oidP18","oid"
"1619","hab","P18","cold","1",26.04,10,"habcold","habP18","hab"
"1620","pen","P18","cold","1",30.74,10,"pencold","penP18","pen"
"1621","chm","P18","cold","1",32.55,10,"chmcold","chmP18","chm"
"1622","chi","P18","cold","1",60.15,10,"chicold","chiP18","chi"
"1623","sit","P18","cold","1",37.46,10,"sitcold","sitP18","sit"
"1624","hab","P19","cold","1",18.64,10,"habcold","habP19","hab"
"1627","chi","P19","cold","1",58.73,10,"chicold","chiP19","chi"
"1628","arc","P19","cold","1",47.79,10,"arccold","arcP19","arc"
"1629","pim","P19","cold","1",25.75,10,"pimcold","pimP19","pim"
"1630","sit","P19","cold","1",51.03,10,"sitcold","sitP19","sit"
"1631","chm","P19","cold","1",18.28,10,"chmcold","chmP19","chm"
"1632","sit","P20","cold","2",63.48,10,"sitcold","sitP20","sit"
"1633","chm","P20","cold","1",18.93,10,"chmcold","chmP20","chm"
"1634","chi","P20","cold","1",33.78,10,"chicold","chiP20","chi"
"1635","hab","P20","cold","1",17.25,10,"habcold","habP20","hab"
"1636","oid","P20","cold","1",100.53,10,"oidcold","oidP20","oid"
"1637","per","P20","cold","2",38.04,10,"percold","perP20","per"
"1638","lyc","P20","cold","1",27.34,10,"lyccold","lycP20","lyc"
"1639","pim","P20","cold","1",25.18,10,"pimcold","pimP20","pim"
"1641","oid","P01","ctrl","2",151.62,11,"oidctrl","oidP01","oid"
"1642","chi","P01","ctrl","1",134.1,11,"chictrl","chiP01","chi"
"1644","pim","P01","ctrl","1",140.67,11,"pimctrl","pimP01","pim"
"1646","hab","P01","ctrl","1",78.53,11,"habctrl","habP01","hab"
"1647","sit","P01","ctrl","1",134.35,11,"sitctrl","sitP01","sit"
"1648","chm","P01","ctrl","1",67.59,11,"chmctrl","chmP01","chm"
"1649","chm","P02","ctrl","1",66.37,11,"chmctrl","chmP02","chm"
"1652","sit","P02","ctrl","1",133.53,11,"sitctrl","sitP02","sit"
"1653","pim","P02","ctrl","1",146.88,11,"pimctrl","pimP02","pim"
"1654","lyc","P02","ctrl","1",137.89,11,"lycctrl","lycP02","lyc"
"1655","hab","P02","ctrl","1",114.7,11,"habctrl","habP02","hab"
"1656","chi","P02","ctrl","1",121.39,11,"chictrl","chiP02","chi"
"1658","pim","P03","ctrl","1",156.1,11,"pimctrl","pimP03","pim"
"1659","chm","P03","ctrl","1",50.27,11,"chmctrl","chmP03","chm"
"1661","hab","P03","ctrl","1",118.64,11,"habctrl","habP03","hab"
"1663","chi","P03","ctrl","1",134.6,11,"chictrl","chiP03","chi"
"1669","chi","P04","ctrl","1",24.4,11,"chictrl","chiP04","chi"
"1671","hab","P04","ctrl","1",111.9,11,"habctrl","habP04","hab"
"1673","sit","P05","ctrl","1",85.6,11,"sitctrl","sitP05","sit"
"1676","hab","P05","ctrl","1",113.39,11,"habctrl","habP05","hab"
"1677","arc","P05","ctrl","1",70.77,11,"arcctrl","arcP05","arc"
"1680","chm","P05","ctrl","1",72.26,11,"chmctrl","chmP05","chm"
"1684","per","P06","ctrl","1",127.33,11,"perctrl","perP06","per"
"1687","hab","P06","ctrl","1",120.75,11,"habctrl","habP06","hab"
"1689","chm","P07","ctrl","1",51.63,11,"chmctrl","chmP07","chm"
"1690","hab","P07","ctrl","1",119.55,11,"habctrl","habP07","hab"
"1693","sit","P07","ctrl","1",93.56,11,"sitctrl","sitP07","sit"
"1698","hab","P08","ctrl","1",97.37,11,"habctrl","habP08","hab"
"1699","sit","P08","ctrl","1",105.05,11,"sitctrl","sitP08","sit"
"1702","oid","P08","ctrl","2",124.04,11,"oidctrl","oidP08","oid"
"1705","sit","P09","ctrl","1",31.44,11,"sitctrl","sitP09","sit"
"1708","pen","P09","ctrl","1",130.68,11,"penctrl","penP09","pen"
"1711","per","P09","ctrl","1",108.8,11,"perctrl","perP09","per"
"1712","hab","P09","ctrl","1",122.81,11,"habctrl","habP09","hab"
"1713","sit","P10","ctrl","1",63.39,11,"sitctrl","sitP10","sit"
"1714","hab","P10","ctrl","1",120.7,11,"habctrl","habP10","hab"
"1718","chm","P10","ctrl","1",63.67,11,"chmctrl","chmP10","chm"
"1723","chi","P11","cold","1",60.46,11,"chicold","chiP11","chi"
"1724","chm","P11","cold","1",17.14,11,"chmcold","chmP11","chm"
"1725","pim","P11","cold","1",20.82,11,"pimcold","pimP11","pim"
"1726","hab","P11","cold","2",11.69,11,"habcold","habP11","hab"
"1727","sit","P11","cold","1",49,11,"sitcold","sitP11","sit"
"1729","arc","P11","cold","1",58.14,11,"arccold","arcP11","arc"
"1730","oid","P11","cold","2",50.78,11,"oidcold","oidP11","oid"
"1731","lyc","P12","cold","1",24.71,11,"lyccold","lycP12","lyc"
"1733","pen","P12","cold","1",27.9,11,"pencold","penP12","pen"
"1734","hab","P12","cold","2",22.29,11,"habcold","habP12","hab"
"1735","chm","P12","cold","1",14.25,11,"chmcold","chmP12","chm"
"1737","sit","P12","cold","1",49.27,11,"sitcold","sitP12","sit"
"1738","pim","P12","cold","1",20.16,11,"pimcold","pimP12","pim"
"1740","pim","P13","cold","1",9.8,11,"pimcold","pimP13","pim"
"1742","hab","P13","cold","1",19.6,11,"habcold","habP13","hab"
"1743","arc","P13","cold","1",41.79,11,"arccold","arcP13","arc"
"1744","chi","P13","cold","1",30.46,11,"chicold","chiP13","chi"
"1745","sit","P13","cold","1",51.59,11,"sitcold","sitP13","sit"
"1746","chm","P13","cold","1",12.5,11,"chmcold","chmP13","chm"
"1747","chm","P14","cold","1",13.38,11,"chmcold","chmP14","chm"
"1748","hab","P14","cold","1",21.95,11,"habcold","habP14","hab"
"1750","arc","P14","cold","1",46.6,11,"arccold","arcP14","arc"
"1751","per","P14","cold","1",58.75,11,"percold","perP14","per"
"1752","chi","P14","cold","1",45.89,11,"chicold","chiP14","chi"
"1753","pim","P14","cold","1",29.3,11,"pimcold","pimP14","pim"
"1754","sit","P14","cold","1",32.76,11,"sitcold","sitP14","sit"
"1755","chm","P15","cold","1",17.18,11,"chmcold","chmP15","chm"
"1756","arc","P15","cold","1",48.86,11,"arccold","arcP15","arc"
"1757","per","P15","cold","1",36.81,11,"percold","perP15","per"
"1758","sit","P15","cold","1",69.33,11,"sitcold","sitP15","sit"
"1759","hab","P15","cold","1",19,11,"habcold","habP15","hab"
"1760","chi","P15","cold","1",60.63,11,"chicold","chiP15","chi"
"1761","lyc","P15","cold","1",29.73,11,"lyccold","lycP15","lyc"
"1762","pim","P15","cold","1",26.7,11,"pimcold","pimP15","pim"
"1763","oid","P15","cold","1",60.4,11,"oidcold","oidP15","oid"
"1764","chi","P16","cold","1",45.05,11,"chicold","chiP16","chi"
"1767","pim","P16","cold","1",23.74,11,"pimcold","pimP16","pim"
"1768","chm","P16","cold","1",23.97,11,"chmcold","chmP16","chm"
"1769","sit","P16","cold","1",48.9,11,"sitcold","sitP16","sit"
"1770","arc","P16","cold","1",69.29,11,"arccold","arcP16","arc"
"1771","hab","P16","cold","1",21.71,11,"habcold","habP16","hab"
"1772","lyc","P16","cold","1",25.28,11,"lyccold","lycP16","lyc"
"1773","chi","P17","cold","2",38.95,11,"chicold","chiP17","chi"
"1774","sit","P17","cold","1",73.87,11,"sitcold","sitP17","sit"
"1775","chm","P17","cold","1",18.11,11,"chmcold","chmP17","chm"
"1776","arc","P17","cold","1",47.58,11,"arccold","arcP17","arc"
"1778","hab","P17","cold","1",24.58,11,"habcold","habP17","hab"
"1779","pim","P17","cold","1",23.93,11,"pimcold","pimP17","pim"
"1780","pim","P18","cold","1",20.6,11,"pimcold","pimP18","pim"
"1781","arc","P18","cold","1",52.38,11,"arccold","arcP18","arc"
"1782","oid","P18","cold","1",94.04,11,"oidcold","oidP18","oid"
"1783","hab","P18","cold","1",30.91,11,"habcold","habP18","hab"
"1784","pen","P18","cold","1",33.71,11,"pencold","penP18","pen"
"1785","chm","P18","cold","1",33.64,11,"chmcold","chmP18","chm"
"1786","chi","P18","cold","1",66.79,11,"chicold","chiP18","chi"
"1787","sit","P18","cold","1",41.89,11,"sitcold","sitP18","sit"
"1788","hab","P19","cold","1",19.81,11,"habcold","habP19","hab"
"1791","chi","P19","cold","1",64.28,11,"chicold","chiP19","chi"
"1792","arc","P19","cold","1",48.79,11,"arccold","arcP19","arc"
"1793","pim","P19","cold","1",27.43,11,"pimcold","pimP19","pim"
"1794","sit","P19","cold","1",55.47,11,"sitcold","sitP19","sit"
"1795","chm","P19","cold","1",18.28,11,"chmcold","chmP19","chm"
"1796","sit","P20","cold","2",75.09,11,"sitcold","sitP20","sit"
"1797","chm","P20","cold","1",19,11,"chmcold","chmP20","chm"
"1798","chi","P20","cold","1",35.71,11,"chicold","chiP20","chi"
"1799","hab","P20","cold","1",20.43,11,"habcold","habP20","hab"
"1800","oid","P20","cold","1",110.73,11,"oidcold","oidP20","oid"
"1801","per","P20","cold","2",44.29,11,"percold","perP20","per"
"1802","lyc","P20","cold","1",29.97,11,"lyccold","lycP20","lyc"
"1803","pim","P20","cold","1",27.28,11,"pimcold","pimP20","pim"
"1806","chi","P01","ctrl","1",135.6,12,"chictrl","chiP01","chi"
"1808","pim","P01","ctrl","1",140.67,12,"pimctrl","pimP01","pim"
"1810","hab","P01","ctrl","1",79.54,12,"habctrl","habP01","hab"
"1811","sit","P01","ctrl","1",142.03,12,"sitctrl","sitP01","sit"
"1812","chm","P01","ctrl","1",68.29,12,"chmctrl","chmP01","chm"
"1813","chm","P02","ctrl","1",66.87,12,"chmctrl","chmP02","chm"
"1816","sit","P02","ctrl","1",134.28,12,"sitctrl","sitP02","sit"
"1817","pim","P02","ctrl","1",148.19,12,"pimctrl","pimP02","pim"
"1818","lyc","P02","ctrl","1",138.8,12,"lycctrl","lycP02","lyc"
"1819","hab","P02","ctrl","1",123.8,12,"habctrl","habP02","hab"
"1820","chi","P02","ctrl","1",132.34,12,"chictrl","chiP02","chi"
"1822","pim","P03","ctrl","1",157.54,12,"pimctrl","pimP03","pim"
"1823","chm","P03","ctrl","1",52.94,12,"chmctrl","chmP03","chm"
"1825","hab","P03","ctrl","1",123.12,12,"habctrl","habP03","hab"
"1827","chi","P03","ctrl","1",135.05,12,"chictrl","chiP03","chi"
"1833","chi","P04","ctrl","1",24.4,12,"chictrl","chiP04","chi"
"1835","hab","P04","ctrl","1",127.3,12,"habctrl","habP04","hab"
"1837","sit","P05","ctrl","1",95.1,12,"sitctrl","sitP05","sit"
"1840","hab","P05","ctrl","1",125.8,12,"habctrl","habP05","hab"
"1841","arc","P05","ctrl","1",70.77,12,"arcctrl","arcP05","arc"
"1844","chm","P05","ctrl","1",74.72,12,"chmctrl","chmP05","chm"
"1851","hab","P06","ctrl","1",130.97,12,"habctrl","habP06","hab"
"1853","chm","P07","ctrl","1",58.32,12,"chmctrl","chmP07","chm"
"1857","sit","P07","ctrl","1",102.84,12,"sitctrl","sitP07","sit"
"1862","hab","P08","ctrl","1",112.37,12,"habctrl","habP08","hab"
"1863","sit","P08","ctrl","1",114.3,12,"sitctrl","sitP08","sit"
"1869","sit","P09","ctrl","1",31.44,12,"sitctrl","sitP09","sit"
"1875","per","P09","ctrl","1",123.49,12,"perctrl","perP09","per"
"1877","sit","P10","ctrl","1",68.83,12,"sitctrl","sitP10","sit"
"1882","chm","P10","ctrl","1",63.67,12,"chmctrl","chmP10","chm"
"1887","chi","P11","cold","1",71.21,12,"chicold","chiP11","chi"
"1888","chm","P11","cold","1",17.77,12,"chmcold","chmP11","chm"
"1889","pim","P11","cold","1",23.07,12,"pimcold","pimP11","pim"
"1891","sit","P11","cold","1",54.85,12,"sitcold","sitP11","sit"
"1893","arc","P11","cold","1",64.47,12,"arccold","arcP11","arc"
"1895","lyc","P12","cold","1",26.64,12,"lyccold","lycP12","lyc"
"1897","pen","P12","cold","1",32.38,12,"pencold","penP12","pen"
"1899","chm","P12","cold","1",14.31,12,"chmcold","chmP12","chm"
"1901","sit","P12","cold","1",57.09,12,"sitcold","sitP12","sit"
"1902","pim","P12","cold","1",23.24,12,"pimcold","pimP12","pim"
"1904","pim","P13","cold","1",10.28,12,"pimcold","pimP13","pim"
"1906","hab","P13","cold","1",24.21,12,"habcold","habP13","hab"
"1907","arc","P13","cold","1",41.99,12,"arccold","arcP13","arc"
"1908","chi","P13","cold","1",33.26,12,"chicold","chiP13","chi"
"1909","sit","P13","cold","1",57.24,12,"sitcold","sitP13","sit"
"1910","chm","P13","cold","1",12.5,12,"chmcold","chmP13","chm"
"1911","chm","P14","cold","1",13.38,12,"chmcold","chmP14","chm"
"1912","hab","P14","cold","1",28.76,12,"habcold","habP14","hab"
"1914","arc","P14","cold","1",51.9,12,"arccold","arcP14","arc"
"1915","per","P14","cold","1",67.67,12,"percold","perP14","per"
"1916","chi","P14","cold","1",53.14,12,"chicold","chiP14","chi"
"1917","pim","P14","cold","1",37.34,12,"pimcold","pimP14","pim"
"1918","sit","P14","cold","1",37.34,12,"sitcold","sitP14","sit"
"1919","chm","P15","cold","1",17.36,12,"chmcold","chmP15","chm"
"1920","arc","P15","cold","1",53.29,12,"arccold","arcP15","arc"
"1921","per","P15","cold","1",43.55,12,"percold","perP15","per"
"1922","sit","P15","cold","1",79.86,12,"sitcold","sitP15","sit"
"1923","hab","P15","cold","1",24.53,12,"habcold","habP15","hab"
"1924","chi","P15","cold","1",68.93,12,"chicold","chiP15","chi"
"1925","lyc","P15","cold","1",34.74,12,"lyccold","lycP15","lyc"
"1926","pim","P15","cold","1",31.24,12,"pimcold","pimP15","pim"
"1927","oid","P15","cold","1",69.99,12,"oidcold","oidP15","oid"
"1928","chi","P16","cold","1",45.09,12,"chicold","chiP16","chi"
"1931","pim","P16","cold","1",27.92,12,"pimcold","pimP16","pim"
"1932","chm","P16","cold","1",24.05,12,"chmcold","chmP16","chm"
"1933","sit","P16","cold","1",56.78,12,"sitcold","sitP16","sit"
"1934","arc","P16","cold","1",76.92,12,"arccold","arcP16","arc"
"1935","hab","P16","cold","1",25.66,12,"habcold","habP16","hab"
"1936","lyc","P16","cold","1",27.55,12,"lyccold","lycP16","lyc"
"1938","sit","P17","cold","1",83.86,12,"sitcold","sitP17","sit"
"1939","chm","P17","cold","1",18.11,12,"chmcold","chmP17","chm"
"1940","arc","P17","cold","1",52.07,12,"arccold","arcP17","arc"
"1942","hab","P17","cold","1",26.93,12,"habcold","habP17","hab"
"1943","pim","P17","cold","1",26.13,12,"pimcold","pimP17","pim"
"1944","pim","P18","cold","1",23.63,12,"pimcold","pimP18","pim"
"1945","arc","P18","cold","1",55.19,12,"arccold","arcP18","arc"
"1946","oid","P18","cold","1",109.43,12,"oidcold","oidP18","oid"
"1947","hab","P18","cold","1",38.03,12,"habcold","habP18","hab"
"1948","pen","P18","cold","1",40.95,12,"pencold","penP18","pen"
"1949","chm","P18","cold","1",35.32,12,"chmcold","chmP18","chm"
"1950","chi","P18","cold","1",77.62,12,"chicold","chiP18","chi"
"1951","sit","P18","cold","1",49.28,12,"sitcold","sitP18","sit"
"1952","hab","P19","cold","1",24.24,12,"habcold","habP19","hab"
"1955","chi","P19","cold","1",76.4,12,"chicold","chiP19","chi"
"1956","arc","P19","cold","1",50.55,12,"arccold","arcP19","arc"
"1957","pim","P19","cold","1",30.96,12,"pimcold","pimP19","pim"
"1958","sit","P19","cold","1",63.75,12,"sitcold","sitP19","sit"
"1959","chm","P19","cold","1",18.28,12,"chmcold","chmP19","chm"
"1961","chm","P20","cold","1",19.06,12,"chmcold","chmP20","chm"
"1962","chi","P20","cold","1",40.89,12,"chicold","chiP20","chi"
"1963","hab","P20","cold","1",28.99,12,"habcold","habP20","hab"
"1964","oid","P20","cold","1",126.31,12,"oidcold","oidP20","oid"
"1966","lyc","P20","cold","1",33.77,12,"lyccold","lycP20","lyc"
"1967","pim","P20","cold","1",30.57,12,"pimcold","pimP20","pim"
